"transition-colors href","hidden","md:hidden","hidden 2","md:inline","group-hover:text-muted-foreground","text-inherit","text-inherit href","hidden 3","flex 2","flex 3","hidden 4","flex 4","group-hover:text-muted-foreground 2"
"https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b:free","NVIDIA: Nemotron 3 Super (free)","Nemotron 3 Super (free)","Free variant","572B tokens","NVIDIA Nemotron 3 Super is a 120B-parameter open hybrid MoE model, activating just 12B parameters for maximum compute efficiency and accuracy in complex multi-agent applications. Built on a hybrid Mamba-Transformer Mixture-of-Experts architecture with multi-token prediction (MTP), it delivers over 50% higher token generation compared to leading open models.   The model features a 1M token context window for long-term agent coherence, cross-document reasoning, and multi-step task planning. Latent MoE enables calling 4 experts for the inference cost of only one, improving intelligence and generalization. Multi-environment RL training across 10+ environments delivers leading accuracy on benchmarks including AIME 2025, TerminalBench, and SWE-Bench Verified.   Fully open with weights, datasets, and recipes under the NVIDIA Open License, Nemotron 3 Super allows easy customization and secure deployment anywhere — from workstation to cloud.","nvidia","https://openrouter.ai/nvidia","Mar 11, 2026","262K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/nvidia/nemotron-3-nano-30b-a3b:free","NVIDIA: Nemotron 3 Nano 30B A3B (free)","Nemotron 3 Nano 30B A3B (free)","Free variant","41.2B tokens","NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and accuracy for developers to build specialized agentic AI systems.  The model is fully open with open-weights, datasets and recipes so developers can easily customize, optimize, and deploy the model on their infrastructure for maximum privacy and security.","nvidia","https://openrouter.ai/nvidia","Dec 14, 2025","256K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/minimax/minimax-m2.5:free","MiniMax: MiniMax M2.5 (free)","MiniMax M2.5 (free)","Free variant","33.5B tokens","MiniMax-M2.5 is a SOTA large language model designed for real-world productivity. Trained in a diverse range of complex real-world digital working environments, M2.5 builds upon the coding expertise of M2.1 to extend into general office work, reaching fluency in generating and operating Word, Excel, and Powerpoint files, context switching between diverse software environments, and working across different agent and human teams. Scoring 80.2% on SWE-Bench Verified, 51.3% on Multi-SWE-Bench, and 76.3% on BrowseComp, M2.5 is also more token efficient than previous generations, having been trained to optimize its actions and output through planning.","minimax","https://openrouter.ai/minimax","Feb 12, 2026","197K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/openai/gpt-oss-120b:free","OpenAI: gpt-oss-120b (free)","gpt-oss-120b (free)","Free variant","24.8B tokens","gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI designed for high-reasoning, agentic, and general-purpose production use cases. It activates 5.1B parameters per forward pass and is optimized to run on a single H100 GPU with native MXFP4 quantization. The model supports configurable reasoning depth, full chain-of-thought access, and native tool use, including function calling, browsing, and structured output generation.","openai","https://openrouter.ai/openai","Aug 5, 2025","131K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/nvidia/nemotron-nano-12b-v2-vl:free","NVIDIA: Nemotron Nano 12B 2 VL (free)","Nemotron Nano 12B 2 VL (free)","Free variant","15.2B tokens","NVIDIA Nemotron Nano 2 VL is a 12-billion-parameter open multimodal reasoning model designed for video understanding and document intelligence. It introduces a hybrid Transformer-Mamba architecture, combining transformer-level accuracy with Mamba’s memory-efficient sequence modeling for significantly higher throughput and lower latency.  The model supports inputs of text and multi-image documents, producing natural-language outputs. It is trained on high-quality NVIDIA-curated synthetic datasets optimized for optical-character recognition, chart reasoning, and multimodal comprehension.  Nemotron Nano 2 VL achieves leading results on OCRBench v2 and scores ≈ 74 average across MMMU, MathVista, AI2D, OCRBench, OCR-Reasoning, ChartQA, DocVQA, and Video-MME—surpassing prior open VL baselines. With Efficient Video Sampling (EVS), it handles long-form videos while reducing inference cost.  Open-weights, training data, and fine-tuning recipes are released under a permissive NVIDIA open license, with deployment supported across NeMo, NIM, and major inference runtimes.","nvidia","https://openrouter.ai/nvidia","Oct 28, 2025","128K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/nvidia/nemotron-nano-9b-v2:free","NVIDIA: Nemotron Nano 9B V2 (free)","Nemotron Nano 9B V2 (free)","Free variant","12.6B tokens","NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and designed as a unified model for both reasoning and non-reasoning tasks. It responds to user queries and tasks by first generating a reasoning trace and then concluding with a final response.   The model's reasoning capabilities can be controlled via a system prompt. If the user prefers the model to provide its final answer without intermediate reasoning traces, it can be configured to do so.","nvidia","https://openrouter.ai/nvidia","Sep 5, 2025","128K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/nvidia/llama-nemotron-embed-vl-1b-v2:free","NVIDIA: Llama Nemotron Embed VL 1B V2 (free)","Llama Nemotron Embed VL 1B V2 (free)","Free variant","7.82B tokens","The Llama Nemotron Embed VL 1B V2 embedding model is optimized for multimodal question-answering retrieval. The model can embed 'documents' in the form of image, text, or image and text combined. Documents can be retrieved given a user query in text form. The model supports images containing text, tables, charts, and infographics.","nvidia","https://openrouter.ai/nvidia","Feb 25, 2026","131K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/google/gemma-4-31b-it:free","Google: Gemma 4 31B (free)","Gemma 4 31B (free)","Free variant","2.56B tokens","Gemma 4 31B Instruct is Google DeepMind's 30.7B dense multimodal model supporting text and image input with text output. Features a 256K token context window, configurable thinking/reasoning mode, native function calling, and multilingual support across 140+ languages. Strong on coding, reasoning, and document understanding tasks. Apache 2.0 license.","google","https://openrouter.ai/google","Apr 2, 2026","262K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/qwen/qwen3-coder:free","Qwen: Qwen3 Coder 480B A35B (free)","Qwen3 Coder 480B A35B (free)","Free variant","1.48B tokens","Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the Qwen team. It is optimized for agentic coding tasks such as function calling, tool use, and long-context reasoning over repositories. The model features 480 billion total parameters, with 35 billion active per forward pass (8 out of 160 experts).  Pricing for the Alibaba endpoints varies by context length. Once a request is greater than 128k input tokens, the higher pricing is used.","qwen","https://openrouter.ai/qwen","Jul 23, 2025","262K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/google/gemma-4-26b-a4b-it:free","Google: Gemma 4 26B A4B  (free)","Gemma 4 26B A4B  (free)","Free variant","1.42B tokens","Gemma 4 26B A4B IT is an instruction-tuned Mixture-of-Experts (MoE) model from Google DeepMind. Despite 25.2B total parameters, only 3.8B activate per token during inference — delivering near-31B quality at a fraction of the compute cost. Supports multimodal input including text, images, and video (up to 60s at 1fps). Features a 256K token context window, native function calling, configurable thinking/reasoning mode, and structured output support. Released under Apache 2.0.","google","https://openrouter.ai/google","Apr 3, 2026","262K context","$0/M input","tokens","$0/M output",""
"https://openrouter.ai/meta-llama/llama-3.3-70b-instruct:free","Meta: Llama 3.3 70B Instruct (free)","Llama 3.3 70B Instruct (free)","Free variant","976M tokens","The Meta Llama 3.3 multilingual large language model (LLM) is a pretrained and instruction tuned generative model in 70B (text in/text out). The Llama 3.3 instruction tuned text only model is optimized for multilingual dialogue use cases and outperforms many of the available open source and closed chat models on common industry benchmarks.  Supported languages: English, German, French, Italian, Portuguese, Hindi, Spanish, and Thai.","meta-llama","https://openrouter.ai/meta-llama","Dec 6, 2024","66K context","$0/M input","tokens","$0/M output","Model Card"
